timestamp,title,description,developer,num_conversations,category,rating_value,num_ratings,sample_prompts,chat_url
2024-10-23T10:56:09.120826,Medical Doctor,"Medical Advisor for healthcare professionals, offering research and diagnostic assistance.",Muhammad Shah,25K+,Research & Analysis,4.7,800+,"['What are the latest guidelines for treating type 2 diabetes?', 'Can you provide information on drug interactions for metformin?', 'What is the differential diagnosis for chronic cough?', 'Summarize recent research on hypertension treatment.']",https://chatgpt.com/g/g-GfRpBAbeg-medical-doctor
2024-10-23T10:56:09.671793,Garden & Plant Doctor,"🔴𝐏𝐥𝐚𝐧𝐭, 𝐆𝐚𝐫𝐝𝐞𝐧 𝐃𝐞𝐬𝐢𝐠𝐧 & 𝐆𝐚𝐫𝐝𝐞𝐧𝐢𝐧𝐠 𝐄𝐱𝐩𝐞𝐫𝐭🔴Garden design, garden & plant tips, garden & plant advice, garden & plant resources, garden & plant research..",AIResearchPlus.com,50K+,Lifestyle,4.4,600+,"[""Here's a photo of my sick plant."", 'Which plants suit my back yard?', 'How can I improve my soil quality?', ""What's the best way to deal with these pests?""]",https://chatgpt.com/g/g-Zyarn4020-garden-plant-doctor
2024-10-23T10:56:10.205687,Doctor GPT,AI doctor for personal health assistance and potential diagnosis.,Kenneth Bastian,10K+,10K+,4.8,100+,"['What should I do about this rash?', 'Can you explain the side effects of this medication?', 'What are common causes for headaches in adults?', 'I have a fever and sore throat, what should I do?']",https://chatgpt.com/g/g-mFtK9rcS6-doctor-gpt
2024-10-23T10:56:10.781345,DoctorX Medical [updated],"I assist doctors and healthcare professionals by providing in-depth, evidence-based answers of clinical guidelines, research trials, and medical advancements.",Ash Mohd,50K+,Education,4.6,600+,"['💤 Sleep Disorders', '🎗️ Cancer Treatment', '⚖️ Weight Loss', '❤️ Heart Disease']",https://chatgpt.com/g/g-K9cvBzhba-doctorx-medical-updated
2024-10-23T10:56:11.301490,Medicine for Doctors,Provide educational medical information for doctors and medical students.,PARK HYO CHEUL,10K+,Education,4.6,100+,['What is the function of the thyroid gland?'],https://chatgpt.com/g/g-tzRyTH0CS-medicine-for-doctors
2024-10-23T10:56:11.883220,Doctor SOAP Note,"I create detailed, evidence-based SOAP notes for medical records.",Samantha Pagano,5K+,Other,4.5,70+,"['Write a SOAP note for a patient with asthma exacerbation.', 'Generate a SOAP note for a diabetic patient with foot ulcer.', 'Create a SOAP note for a patient with migraine headaches.', 'Draft a SOAP note for hypertension management.']",https://chatgpt.com/g/g-26ubDxvnZ-doctor-soap-note
2024-10-23T10:56:12.397685,Skin Doctor,Friendly Dermatology Expert with a witty touch.,Alexander-Gregorian,1K+,1K+,4.5,70+,"['How long have you had these skin symptoms?', 'Upload a picture so that I can analyse']",https://chatgpt.com/g/g-iKlTErjqh-skin-doctor
2024-10-23T10:56:12.911047,Plant Doctor,Upload a photo of your plant for diagnosis and growth tips.,aiprompto.com,10K+,Lifestyle,4.3,100+,"[""What's wrong with my plant?"", 'How to grow this plant?', 'Is my soil suitable for tomatoes?', 'Show me how to repot concisely?']",https://chatgpt.com/g/g-Kk2PHw8oQ-plant-doctor
2024-10-23T10:56:13.456471,DoctorAssistantGPT,Medical assistant with diagnostic hypothesis support,ANDRE R B DIAS,200+,200+,Other,200+,"[""Summarize this patient's medical history."", 'Create a report based on these clinical findings.', ""Generate a focused report on this patient's main diagnosis."", 'Justify the need for this medical test based on the history.']",https://chatgpt.com/g/g-Vo06MXkYq-doctorassistantgpt
2024-10-23T10:56:14.012242,Naturopathic Doctor,"Integrates naturopathy with modern medicine to devise personalized, holistic treatment strategies, emphasizing education and natural wellness.",cureai.co.uk,700+,Other,4.6,10+,"['Generate Treatment Plans', 'Explore Naturopathic Advances', 'Design Wellness Programs', 'Create Herbal Formularies']",https://chatgpt.com/g/g-GKaUHEHxn-naturopathic-doctor
